source_id,ra,dec,teff_val,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,focal,lsst_r_mag
6488323535479812480,357.22740748388674,-60.46585991490202,,19.508303,21.000977,18.24058,intra,20.206023338951322
6488329273556119680,357.2890975338859,-60.4494702609016,5176.5,15.634308,16.083628,15.033015,intra,15.591672516017905
6488329166181071872,357.291002511837,-60.46934707041758,,19.6618,20.643755,18.606453,intra,19.82041989756456
6488322435967372416,357.3594020383803,-60.51198405060445,,20.580349,21.255768,19.485685,intra,20.632984705211893
6488328139683938816,357.4053870506336,-60.5035920621337,,20.824091,21.805256,19.50762,intra,21.13121086781235
6488322740909982976,357.29136524762663,-60.52184629190991,,18.702225,18.963346,18.250544,intra,18.687092365743236
6488322401607205632,357.3338890332595,-60.51402864683891,,20.091196,21.360949,18.680922,intra,20.708471402110725
6488323398040146304,357.2359618202046,-60.494747056580294,,20.938751,21.509836,19.663054,intra,21.017318752674132
6488322401607635840,357.3479636326061,-60.5168576810297,,20.943207,21.35689,19.454044,intra,21.042966738590735
6488328101029174528,357.44040663863433,-60.50474094192228,,17.992159,18.31884,17.490597,intra,17.963631850675593
6488322397312603136,357.32965999282186,-60.511447013376994,,19.557453,19.921904,19.036585,intra,19.52375558788101
6488323393745150080,357.247471267239,-60.49283600918189,,20.91859,20.889608,20.263033,intra,20.915804280362064
6488322332888914560,357.37966365075744,-60.52854947685085,5265.0474,15.577222,16.015547,14.984298,intra,15.535141247767767
6488328478986304128,357.3839535176723,-60.47317378174431,,19.456667,20.825117,18.223572,intra,20.000688951653373
6488322401608391680,357.3459023487738,-60.51905167986372,,17.51276,18.356873,16.62719,intra,17.553117471384272
6488323226242112896,357.2536281794484,-60.48514846902312,,19.943592,20.620033,19.307209,intra,19.907870271831502
6488329307915138560,357.3179370226946,-60.453381708871916,,21.274412,,,intra,
6488322500391950720,357.3271593775097,-60.49933853075857,,20.225079,21.185848,19.046604,intra,20.436234357694822
6488322779564855296,357.2669673529344,-60.53071546318319,,21.129328,,,intra,
6488322848284994944,357.2237646802415,-60.542208802272306,4888.0,16.621397,17.135363,15.975228,intra,16.578275347544793
6488322676486301056,357.28320625054215,-60.541525583886155,5412.0,16.993101,17.386683,16.458204,intra,16.956178111418513
6488322985723946496,357.21975391556396,-60.51394616069414,5909.0,16.081648,16.396128,15.614583,intra,16.0580822081814
6488328552001555584,357.34151894009597,-60.46266646940561,4664.0,13.438551,14.131673,12.649874,intra,13.423143919254343
