source_id,ra,dec,teff_val,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,focal,lsst_r_mag
3531125680443192704,167.79077220869485,-29.02525540297799,,21.145473,,,intra,
3531125611724892160,167.78977107309964,-29.031247532714517,,20.965698,,,intra,
3531125783523556352,167.79420669542736,-29.02365911611188,,20.760424,20.857342,19.85474,intra,20.71941153271388
3531125641788095232,167.76934690203512,-29.028907030701912,,20.443844,20.850788,19.777817,intra,20.40073920258679
3531125573068617856,167.78813389887085,-29.045035027534908,,19.040104,20.136631,18.045965,intra,19.22535001870554
3531125573068617728,167.7786310262354,-29.05207822309319,4324.75,15.624679,16.313456,14.784019,intra,15.617489623464863
3531125676147833984,167.78666092077597,-29.018234767506584,,18.813837,20.272322,17.589092,intra,19.43421228012601
3531125886602752256,167.77219734803978,-29.018438463003623,,20.532984,21.324577,19.340929,intra,20.666726630088267
3531125611724630912,167.79672500257158,-29.040504942102118,5448.1953,15.318199,15.695588,14.774554,intra,15.281789225710588
3531125646084369152,167.78093444450545,-29.03429220350706,5647.4,14.870065,15.228897,14.342705,intra,14.836296401701995
3531125852242799232,167.75250040427431,-29.02496218494902,,17.55811,18.286507,16.733467,intra,17.555418031415204
3531125676148034560,167.78073394549813,-29.028164367928902,,20.987652,20.697964,20.570745,intra,21.085613594443547
3531125577364892160,167.77744178908614,-29.04205835234963,5011.0,16.384453,16.865103,15.766137,intra,16.341037425884263
3531125573068617984,167.78076891445292,-29.04121241593327,,19.92825,21.29803,18.679087,intra,20.48806637489054
5404112299199223040,167.78798665507486,-31.545983328157774,,21.042234,,,intra,
5404113497494972288,167.6506969238653,-31.56650789825555,,18.935698,19.844915,17.940603,intra,19.036037784750867
5404114773098917760,167.59009427954203,-31.5240442789745,,20.199652,21.022097,18.817253,intra,20.448385234694687
5404115803892537600,167.7510207585222,-31.4792956824255,,21.148794,,,intra,
5404111955601843072,167.7470699971684,-31.556080656884284,,20.494097,20.902994,19.680424,intra,20.452816363544727
5404113776666501504,167.6221175303708,-31.549469662392205,,19.440823,20.040556,18.449821,intra,19.44591116905225
5404114768804258816,167.58189423928485,-31.535822186265932,,19.357681,20.157864,18.423542,intra,19.399400833731413
5404112501061534592,167.79491394745088,-31.52750757329927,,19.25159,19.583277,18.672108,intra,19.215888136758533
5404110340694142464,167.71814556134703,-31.587962092952637,,20.59182,21.026415,19.316038,intra,20.6266387827068
5404112402279079296,167.78465433347802,-31.52817207668502,4902.6665,16.072556,16.607332,15.397805,intra,16.030758601492813
5404116211913309824,167.64322306685403,-31.492487457780175,,18.837885,19.149958,18.320341,intra,18.8092216562185
5404112775939472000,167.76994776342312,-31.493062697224705,,19.952429,20.35352,19.359947,intra,19.911813520776953
5404115490358804224,167.70435555285428,-31.491232203209794,,20.479694,20.77536,19.618118,intra,20.43652532589685
5404115730876969600,167.76138518588306,-31.494772649309848,,19.440742,19.852583,18.791016,intra,19.39785346996634
5404115662157493632,167.72644470483496,-31.494019768728766,,19.313358,19.811434,18.524506,intra,19.275680409321925
5404112775939470208,167.77079341956303,-31.49435969874435,,19.127764,20.08341,18.096687,intra,19.2628818972805
5404115524718536832,167.68024656880647,-31.49751392409471,,17.38855,17.897043,16.731054,intra,17.345533725228933
5404112741579730560,167.79582623930267,-31.495413007093305,,19.514154,20.714464,18.333807,intra,19.87888287837032
5404114974962723840,167.59363349302274,-31.49715592132911,,19.18125,19.569971,17.836794,intra,19.222632436513972
5404116211913302144,167.6337247710964,-31.49939438374689,,19.400066,20.060207,18.4709,intra,19.404845886688697
5404112775939467136,167.7759728107575,-31.4968559732949,,18.924904,19.300228,18.365702,intra,18.887577824314587
5404114395142939648,167.58293574470147,-31.539039035941848,,20.907465,21.646532,19.79882,intra,20.986368684521135
5404114807459798528,167.59186321048543,-31.515244601532643,,20.978779,21.928974,19.929457,intra,21.119684433511317
5404114876179275392,167.5843925315399,-31.51367307738751,,20.716228,21.389797,19.850569,intra,20.710869608818612
5404112775939465088,167.76675256766924,-31.499844725693237,5421.0977,16.89236,17.273813,16.34936,intra,16.855712319205626
5404114704380583168,167.6206797337463,-31.523678244282056,,20.754019,21.500427,19.35452,intra,20.968854295556966
5404115662157487616,167.73092946691213,-31.499852032491887,,19.698307,21.262548,18.34491,intra,20.5698877735401
5404115013618227072,167.60876992598364,-31.47827814379532,,20.66579,20.759586,20.069338,intra,20.65370327500497
5404112672860246400,167.76760418038717,-31.504207063015027,,20.27765,20.356874,19.72251,intra,20.273672539786155
5404112672860245504,167.7614552599865,-31.504746250814026,,20.178032,20.575636,19.440893,intra,20.134610880078807
5404116143193819776,167.65908298776716,-31.506222069922647,,19.20392,19.441235,18.650787,intra,19.17935913070542
5404115593438005760,167.74028634023955,-31.505992376952808,,19.54707,19.946535,18.894989,intra,19.50441124305133
5404112402279133184,167.78673297342044,-31.523560261886928,5692.5,15.753,16.084864,15.244191,intra,15.723261515465271
5404113329991940608,167.59322049441,-31.585334853763538,5352.75,14.45118,14.860886,13.882909,intra,14.411317295292358
5404115627797744896,167.75193790251595,-31.50504975354076,,19.767618,20.93673,18.572348,intra,20.120645250352915
5404112505358348416,167.78935855590328,-31.517548392045576,,17.715372,18.609701,16.775927,intra,17.789295599832318
5404113634933300992,167.6773890114961,-31.55334262700678,,19.97337,21.720516,18.654505,intra,21.02986401839786
5404126622914024960,167.57825752982,-31.503291324903017,,19.574692,20.211706,18.650501,intra,19.573622527054393
5404111921242248320,167.7716676502238,-31.565924315390607,,21.082151,,,intra,
5404111783803842304,167.74822956741187,-31.580644176611244,,18.576046,19.082855,17.927273,intra,18.532851850887646
5404115116698407168,167.68830278222848,-31.535759443418886,5589.3335,15.631677,15.996187,15.100443,intra,15.597145385340793
5404113295632330240,167.61572005307434,-31.582038110577322,5317.775,15.855276,16.259693,15.265335,intra,15.81462487076276
5404111818162647680,167.7355265839471,-31.58316168877932,,20.587055,21.158466,19.683903,intra,20.570498697168706
5404112127400291456,167.71604421717115,-31.557291090860456,,20.83066,20.414724,20.019691,intra,20.869362034046986
5404113536149564416,167.67974488790307,-31.574627529299338,,20.685577,21.402878,19.525644,intra,20.775416994668536
5404126760352998400,167.6028277527622,-31.478244711801597,,17.944965,18.786146,17.018517,intra,17.99682807380909
5404115597733863808,167.73418368327737,-31.50524018198219,,20.691795,20.850424,19.58852,intra,20.652505799949438
5404115597733863424,167.73699387707165,-31.501268316928766,,20.774248,20.797495,19.694345,intra,20.730806328814438
5404115906972393856,167.728236699715,-31.484197862637657,,18.130733,18.711632,17.431744,intra,18.09257456036782
5404113841091318016,167.65391447203817,-31.54137761579238,,18.704662,19.467003,17.798037,intra,18.728304877654413
5404113811027469568,167.66015511164696,-31.553146448882963,,20.79645,21.127153,19.590326,intra,20.79063807561867
