source_id,ra,dec,teff_val,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,focal,lsst_r_mag
6296304893524155904,214.26297303348946,-17.758697260820853,,18.47377,19.325544,17.576063,intra,18.520027304562696
6296304893524374528,214.26554639449733,-17.75274752388757,,19.81384,20.430634,18.917244,intra,19.803755084349177
6296304889228712960,214.26534483406115,-17.7548683043777,,19.269142,20.407045,18.121006,intra,19.568622746604596
6296500189982007296,214.26341156295868,-17.639387198942565,,20.888233,21.111122,19.818327,intra,20.850972676431336
6296492527760327680,214.2313328982843,-17.750408594122124,,21.087692,,,intra,
6296499571511183104,214.2268929061462,-17.68918061542311,,19.427216,20.535975,18.37342,intra,19.651380324770017
6296503866476292736,214.2410380267619,-17.556524570127078,,21.042591,,,intra,
6296503935192999808,214.22948810860444,-17.557975310205112,,20.538723,21.094976,19.517878,intra,20.5409109094846
6296493146235011712,214.1747988034427,-17.742401325930015,,19.576473,20.47037,18.606556,intra,19.661275935837903
6296493700286471808,214.22489545681628,-17.70626400019405,5085.55,16.970224,17.40406,16.359919,intra,16.92775872996651
6296492944372227584,214.2362657046771,-17.70804249578778,,20.137909,21.546219,18.925953,intra,20.698936720017215
6296492493399972096,214.23140248059644,-17.757505748111384,,20.100382,20.797949,18.905344,intra,20.19612681918103
6296499708945348736,214.25285315101684,-17.672581521389567,,19.8102,21.113821,18.4874,intra,20.37688243945468
6296493528487778816,214.18636653698806,-17.727025862153123,5782.0,14.755848,15.107232,14.2434,intra,14.723978506263487
6296493597207255680,214.1789779750015,-17.726183710650144,,18.217176,19.364265,17.120567,intra,18.489600076576195
6296502908696404864,214.2019454952712,-17.644995111790685,,20.234306,21.342327,19.067158,intra,20.526716074492814
6296503664610626304,214.25086729717393,-17.578429287554478,,17.100979,17.488796,16.552973,intra,17.06356790496803
6296492772573533440,214.20062962701493,-17.738946253094678,,18.097672,19.10646,17.120405,intra,18.23249062215517
6296492875652748672,214.24704822641746,-17.72655921997746,,19.887358,21.115683,18.836597,intra,20.182306025213016
6296493627271367296,214.18625323667868,-17.713693793749805,,19.968834,21.158958,18.789354,intra,20.32559393932305
6296492669494318080,214.25507827576874,-17.729511716618468,5269.0,15.736276,16.114037,15.182781,intra,15.699166402943648
6296492806933271680,214.21399374107256,-17.73676812593765,5444.5,14.879952,15.258841,14.340943,intra,14.843763814487803
6296493425408565376,214.15806139068005,-17.715162748544916,,18.32619,18.929173,17.599249,intra,18.291922901411773
6296503316717673472,214.19780924664772,-17.602243294475592,,19.162493,20.168203,18.140663,intra,19.31644667681801
6296503729037316224,214.2233140728185,-17.590493705122956,,20.307695,20.884218,19.105566,intra,20.36305605183908
6296504519308544000,214.19120737716665,-17.56842710315349,,19.904526,20.224533,19.254131,intra,19.865059281824525
6296492321601279488,214.20657749648868,-17.758261825757298,,19.622826,20.779097,18.463684,intra,19.94184839216342
6296492394616410368,214.19455544378633,-17.75328490606725,,18.592634,19.435713,17.67371,intra,18.642738917089467
6296492600774840448,214.26139394468825,-17.739144086775337,5541.0,15.277373,15.642812,14.743328,intra,15.242550592048213
6296493116170916480,214.17220394777405,-17.75375701593423,,18.86236,19.271471,18.258204,intra,18.820915647731088
6296500499219335936,214.26322246905528,-17.61174957878549,,19.929333,21.079573,18.648409,intra,20.33166604737345
6296499816319951104,214.25369637541183,-17.6535644511177,5479.5,14.011452,14.3853245,13.48029,intra,13.976206332315558
6296493116170916736,214.16561088375286,-17.750542841718698,,19.27519,19.994457,18.354313,intra,19.291612657232243
6296492566415101184,214.26180563023732,-17.75179278315234,,19.764425,20.501139,18.92483,intra,19.766448091924243
6296492566415101312,214.26336753578485,-17.74987017961323,,19.525581,19.697647,19.019033,intra,19.515117321392783
6296492291537194112,214.18463911587673,-17.77062433346277,,19.894598,20.129084,19.426094,intra,19.880774014537945
6296494043883906560,214.19093966499526,-17.670991661281576,,19.963766,20.778337,18.94507,intra,20.037510646300532
6296492355961015424,214.17324734877283,-17.76163707527299,,19.967068,,,intra,
