source_id,ra,dec,teff_val,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,focal,lsst_r_mag
4910966799971608448,19.98801105272029,-56.10735608890266,,20.803177,21.222507,19.493011,intra,20.843479810621712
4910967899484165120,19.973230164443585,-56.05950894097214,,20.691748,21.188915,19.442774,intra,20.73699426194411
4910971193723127296,19.92886824263638,-56.02077698946725,,19.752666,20.291155,18.693335,intra,19.759299618299284
4910971434241305344,20.03185764301839,-56.00639530781467,,20.50709,20.687246,19.626411,intra,20.464216999842144
4910971056284176256,20.000194880368127,-56.01640505782586,,18.433353,19.198956,17.529537,intra,18.45711298906796
4910971438536398080,20.00990160888277,-56.00950952717362,,20.947063,20.612299,20.25057,intra,20.99257825101868
4910971026220372608,19.971828887618884,-56.025539390754474,,21.023836,,,intra,
4910971060579167616,20.002632528495226,-56.013506911050385,,20.71309,20.544922,19.457655,intra,20.669782733733307
4910968105641665792,20.015728240284457,-56.024914527383146,,20.922388,21.372698,19.561321,intra,20.988552553615005
4910968105641666304,20.01283010725066,-56.01736717685928,,20.971235,21.074732,20.21099,intra,20.939373466965606
4910967384087155584,20.05811119678636,-56.07111798277254,,20.608356,21.177685,19.254673,intra,20.71621198073482
4910968586677996416,20.102544979638516,-56.0014210799798,,21.368431,,,intra,
4910966868691983488,19.986565429875427,-56.10290000718447,,19.44004,20.492287,18.175709,intra,19.759850583789376
4910966387655645696,19.908501955128457,-56.08490973601941,,19.306147,20.428429,17.94104,intra,19.752672968344882
4910967865124395008,19.930876124715017,-56.075158967289056,5408.0,12.316861,12.708055,11.783709,intra,12.280220706369471
4910966353295907712,19.89506223714287,-56.095109356330966,5823.0,13.2797,13.617852,12.786978,intra,13.250912557063586
4910971266738491648,19.933370581021634,-56.00869880013522,3593.5,16.799038,18.040405,15.671388,intra,17.1553773206878
4910968066986916992,19.97316524798797,-56.04194663762541,,20.59351,20.760677,19.921501,intra,20.563914921940935
4910971129299538048,20.001184425701663,-56.005116159612314,5125.21,13.468844,13.915938,12.879274,intra,13.426594394967914
4910971163659276800,19.92240253894471,-56.021775606296195,4263.0933,16.703928,17.432812,15.881498,intra,16.70089746067186
4910969411312621184,19.893328084722977,-56.06518492362238,5748.0,13.753108,14.108254,13.243663,intra,13.721171471331244
4910969407016702848,19.90981140685832,-56.05701687692703,,18.490644,19.23682,17.611614,intra,18.503502029960273
4910971369817705984,19.959328267553516,-55.99651963291366,,19.925062,20.304806,19.138739,intra,19.882047221938826
4910966731252986112,20.043763306773243,-56.107369037464444,4429.5,16.570805,17.258486,15.758348,intra,16.558426792945706
4910967998267431168,19.998411060063965,-56.05332745742698,,19.119875,19.40829,18.546635,intra,19.08819877348377
4910967963907691264,19.944615071499772,-56.0566510285077,,19.493118,20.642023,18.295174,intra,19.83376334610263
4910968243080723584,20.069325899803243,-56.03031942719836,,21.12754,,,intra,
4910968277440460160,20.091505768297147,-56.026236042998654,,20.817356,20.824541,20.180992,intra,20.81199217601282
4910971228082862848,19.894784235060875,-56.024111676674856,,20.396805,20.421234,19.680103,intra,20.378039017756734
4910968444944055552,20.0479032748136,-56.01998203488257,,20.11626,20.6367,18.963924,intra,20.140891376103017
4910968273145354880,20.106316095472412,-56.02943780125666,,17.131102,17.99372,16.206663,intra,17.18917781158195
4910967585950537216,19.941921896553247,-56.104135851091925,,18.2433,18.618486,17.686428,intra,18.206136956591333
4910968277439897088,20.103175414441584,-56.023286071452404,,19.652012,20.848242,18.405634,intra,20.06313936938023
4910967070554466688,20.099258021319127,-56.092606884131456,,20.105864,20.536926,19.476704,intra,20.06300415749343
4910971266738491008,19.93721528295452,-55.99673694816454,5429.36,15.929473,16.314285,15.385018,intra,15.892496871852714
4910968277441239552,20.089122344714255,-56.02731429946474,4882.0,16.506807,17.00429,15.78689,intra,16.465313063027686
4910968032627182080,20.001931475745288,-56.038340375221686,,19.564695,19.394247,18.59519,intra,19.53919373557534
4910967001835005952,20.04209707804577,-56.0708428685435,,18.446194,18.92742,17.790794,intra,18.402786358063388
4910967792108987520,19.986239044924844,-56.073388212618866,,19.43683,19.700102,18.813387,intra,19.403018871281166
4910967074849822848,20.095259599976,-56.09016279929736,,21.029797,,,intra,
4910967723389509888,19.992824381993668,-56.075357451784285,,21.080091,,,intra,
4910969372656960768,19.88705676473193,-56.06621073135596,,18.987516,20.074415,17.87474,intra,19.233178570027473
4910969475736178432,19.89210715587556,-56.06095188483338,,21.152956,,,intra,
4910970957499960320,19.914392724681363,-56.040435251720304,,20.64365,21.152039,19.28385,intra,20.730082980593515
4910967143569844352,20.099578253922243,-56.07815670653891,5439.675,10.697051,11.084432,10.180111,intra,10.661859183855553
4910967349728273024,20.09668348697957,-56.06662164265163,5841.3335,14.991084,15.309573,14.510032,intra,14.965530507295766
4910967796404917760,19.99285625800688,-56.06980207592703,,19.17318,20.417551,17.99559,intra,19.568514648686858
4910968273145556224,20.09851256236431,-56.03476910265814,,20.288086,21.008757,19.067085,intra,20.403660183028087
4910968277441205376,20.103332573756525,-56.02205767310727,4615.3335,17.006668,17.652817,16.23829,intra,16.981560895266643
4913561922292018560,17.637232604303957,-56.09482076535972,4390.0703,16.119923,16.871267,15.279636,intra,16.125205149799783
4913561540038380672,17.572145185017355,-56.10815950782045,,18.915394,19.27672,18.409063,intra,18.883188510064535
4913563399760595328,17.63883975048627,-56.001706645456586,,21.055492,,,intra,
4913566316042047872,17.57964530708355,-55.99728334358549,,18.577215,17.986317,16.600441,intra,18.548634295309927
4913562158513680128,17.59547373567056,-56.08484161307211,,18.86579,20.076487,17.75692,intra,19.187627430101156
4913566698295689344,17.610865907302067,-55.95363055875046,5712.0,14.486362,14.838069,13.9807205,intra,14.455072425061624
4913561853572580096,17.576145984427974,-56.0760233772092,,18.310108,19.507748,17.207703,intra,18.61882712832452
4913561784852774144,17.578241684490123,-56.08546311640475,,20.757555,20.827393,20.169239,intra,20.750029546483105
4913566801374490496,17.625862833013205,-55.92469950529976,,20.920603,21.244595,19.637846,intra,20.929222142798213
4913563502838780928,17.644748570314455,-55.98674146583641,,20.617043,21.063572,19.37206,intra,20.646652173269697
4913566595215234816,17.590764697694475,-55.96640967854102,,21.207668,,,intra,
4913565908021667712,17.537168185748456,-56.01381514340692,,17.272573,18.4543,16.186975,intra,17.559934356349167
4913561883635812480,17.625455806275507,-56.08943131604735,,19.790485,20.87358,18.524487,intra,20.132702147538208
4913562643845330048,17.54704585461637,-56.0609138956195,,20.33692,20.545506,19.840187,intra,20.32278308331257
4913567557287916160,17.612347581001412,-55.91811592009747,,21.201416,,,intra,
4913566659639453056,17.5727497389293,-55.95136458930542,,18.784307,20.18436,17.61346,intra,19.30111635872672
4913566762718668672,17.595191262304116,-55.941310736628736,,20.245523,20.80671,18.98789,intra,20.31423291071902
4913566797078408448,17.62296013771068,-55.927543640855745,,20.034939,20.99228,18.777132,intra,20.289849950178116
4913567587352391808,17.595435661489688,-55.91841875184497,,19.917511,20.66074,18.694935,intra,20.04339334862602
4913567793510822656,17.582378607520287,-55.90472447665446,,19.918604,19.918427,19.461704,intra,19.945198408994063
4913566560855002624,17.544925053649735,-55.97939064156767,,19.71772,19.91882,19.172606,intra,19.698325242713885
4913563429824025216,17.644610669134497,-55.99515435792752,,20.787735,20.969372,20.275143,intra,20.775100941196115
4913565903725184640,17.551239556857364,-56.01024152988282,,20.14671,20.497316,19.178572,intra,20.11147707575695
4913566350403725568,17.549608935315877,-55.99967469250938,,20.534996,21.081285,19.439522,intra,20.551812238974513
4913566732654194688,17.62207435663873,-55.950008810879524,,20.8275,20.723406,19.967808,intra,20.806963217719932
4913562197168728704,17.631486106600317,-56.0657466667002,,20.896559,21.82768,19.30742,intra,21.3700796866605
4913561986714992896,17.643932769231828,-56.072456586574646,,20.282944,20.737658,19.397278,intra,20.249631033243514
4913562983147412992,17.58881769088135,-56.056317883607655,,19.842989,20.245277,19.01218,intra,19.802177240508218
4913562364672124544,17.636071948280858,-56.04395467242695,,19.719923,20.247057,18.582357,intra,19.74246854879838
4913563086226633216,17.599710805659207,-56.035588964942406,,19.555622,20.729868,18.305738,intra,19.952600148422196
4913562948787683072,17.555667997390426,-56.020177718074876,,18.745337,19.92301,17.598711,intra,19.07039679049366
4913563120586373632,17.641811040780937,-56.02584912915673,,18.520927,19.670782,17.428782,intra,18.79229312537492
4913563361104545024,17.589475814893888,-56.011607464530115,,19.644413,20.47699,18.642723,intra,19.718510759542458
4913563292385068800,17.61328838419392,-56.00898957825388,,20.777792,20.302786,18.798126,intra,20.766186429227528
4913563189305852160,17.62569738015001,-56.01622392283668,,19.642275,20.247715,18.853188,intra,19.614702474418944
4913566281682307328,17.57193030373616,-56.007177759853064,,20.172663,20.766895,19.159134,intra,20.181509850352185
4913563429824024448,17.64655805299579,-55.99940967233926,,19.558605,21.017551,18.280918,intra,20.231958139381465
4913566247322573184,17.537020652612636,-55.979697366393296,,19.520258,20.792162,18.274303,intra,19.991777666127618
4913566384761527552,17.585991902741,-55.975852216164256,,17.761272,18.314064,17.093145,intra,17.719922036006828
4913566693999173760,17.61216777246369,-55.95932416148646,,20.987658,21.441795,19.75491,intra,21.016019763671647
4913567484273176064,17.573011618608973,-55.925276416435416,,18.24531,19.694582,16.97223,intra,18.904255466558812
4913563262320122752,17.566161849539267,-56.03089801147983,,20.27005,20.283716,19.827675,intra,20.29677442783442
4913562368966926336,17.635780709210344,-56.043634579409286,,20.705086,,,intra,
4913661393734676992,17.63366168467864,-55.906737475446725,,17.540224,17.693142,17.160938,intra,17.55299723828657
4913561819211122432,17.538149715390933,-56.092059149401706,,18.580349,18.967253,17.938255,intra,18.53834155676636
4913567900886490880,17.60976162839219,-55.88685111939889,4964.0,14.573076,15.066672,13.923627,intra,14.529724767483497
4913567832167014272,17.600480316724905,-55.895181862185154,,19.47796,20.623045,18.331215,intra,19.781243008512057
4913567488569630720,17.569438720586437,-55.92250451292993,,18.776798,20.375195,17.48177,intra,19.62015247636957
4913567488569630976,17.558949521273277,-55.93513580762027,,18.65232,19.851088,17.565823,intra,18.951294417313203
4913566801374863488,17.613861443485142,-55.936427483605215,5831.0,14.10319,14.43687,13.6159115,intra,14.075394375174096
4913567385490416128,17.553127048700777,-55.95033403236996,,17.730583,18.258612,17.059326,intra,17.688429235330844
4913566629576172416,17.55238845069645,-55.967670434446205,5408.5,15.684013,16.065086,15.141287,intra,15.647410529543128
4913566389058004224,17.579073248240203,-55.98645309387199,,17.322939,17.782612,16.706047,intra,17.27977608752368
4913566389058003968,17.59667183168787,-55.973760267571244,4581.99,15.8088045,16.517958,15.006763,intra,15.798333635585266
4913566389058004096,17.576629316945827,-55.98467036868564,4613.5,17.018038,17.696281,16.230959,intra,17.000051525563016
4913561819212803840,17.538483647925627,-56.08988897287613,5999.6465,14.512955,14.807816,14.050271,intra,14.492184340903838
4913561956651757440,17.60215762919582,-56.09874734088134,5425.0,15.883025,16.25538,15.347622,intra,15.847575290840703
4913563262321813504,17.586296402513113,-56.02057255799378,6278.17,14.825563,15.119981,14.363357,intra,14.804902840881356
4913562265889401216,17.631112780105784,-56.04322900940706,,19.043398,19.606943,18.33229,intra,19.00489597258935
4913562678206261760,17.56966250272176,-56.04487428075116,6060.0,17.029516,17.38526,16.507732,intra,16.99646458057636
4913562094090709888,17.647478463762955,-56.06772523340037,5828.0,16.21193,16.54419,15.722697,intra,16.184080159567287
4913755539416675456,17.56184399160865,-55.89154510559486,,20.712673,21.21979,19.418919,intra,20.775300550233556
4913661458158070400,17.64057608768317,-55.90125188226329,,19.608297,20.920525,18.334919,intra,20.138068817960807
4914409847619259136,20.01995644673967,-53.707225542507416,,18.225626,20.034937,16.910255,intra,19.36104668104832
4914410088137430144,20.00593644031299,-53.692468022243446,,20.50893,20.696388,19.878416,intra,20.481438871555298
4914410264230676992,20.101119903396867,-53.73539861833941,,20.237337,21.492887,18.804949,intra,20.862284559809368
4914410229871359104,20.079735249257176,-53.73264112316478,,20.741913,21.448393,19.401497,intra,20.90518005541043
4914411569901155968,20.060284237083433,-53.675555407409355,,21.075394,,,intra,
4914410229872306944,20.08178116589241,-53.73466325075114,5930.0,15.885565,16.194134,15.424264,intra,15.863338537305882
4914410264232044928,20.102006197878723,-53.728334436956374,5263.093,14.509524,14.975599,13.900332,intra,14.46638151897774
4914408885546609536,20.01027648571836,-53.75226367250799,,20.764278,21.101395,19.867271,intra,20.723514475123935
4914411462526987904,20.092715340233475,-53.67879868338906,,20.104204,20.892057,18.822916,intra,20.278481153649928
4914411707341054592,20.102376783742336,-53.64395973356423,,20.136583,21.274075,18.793854,intra,20.57733656029696
4914411295024194560,20.070638627157596,-53.6930835729589,,18.95204,18.330084,16.991539,intra,18.918556014216737
4914410539109950592,20.09684027068242,-53.6975006877466,,19.465727,19.75978,19.011103,intra,19.446030131884484
4914410023713875200,20.0029227164266,-53.69678774383633,4970.6665,13.959598,14.471979,13.308935,intra,13.916526998491245
4914410470390475008,20.0894181374048,-53.725281998196024,5400.0,15.905511,16.286486,15.368457,intra,15.869313493573573
4914410229872306816,20.076640034615927,-53.73392415781011,,17.797922,18.215162,17.212679,intra,17.756914578527788
4914408958561987840,20.047521806379645,-53.74579841761851,3758.24,17.019302,18.059101,16.009956,intra,17.183667241964574
4914409645756754944,20.000523278932196,-53.739026776149935,5822.3335,16.105522,16.434986,15.620132,intra,16.078351608365267
4914411325088034176,20.04796299844602,-53.6967811952518,,20.128378,21.46302,18.871891,intra,20.66306389750235
4914411256368534144,20.06952785461343,-53.697228621771295,,18.015394,18.490078,17.406553,intra,17.97213230885882
4914409778899781504,20.0334955587829,-53.71312781801842,,19.978127,20.538862,19.443335,intra,19.93473787232831
4914410534814025088,20.086076391753583,-53.71321139027456,,19.514967,20.840075,18.234575,intra,20.062557376782486
4914410156856895104,20.08185736787767,-53.75594678918052,,20.468103,20.3888,19.786705,intra,20.469157286885633
4914410470390589952,20.09223246802597,-53.724866221045374,,20.648113,20.976141,19.274044,intra,20.680620708925087
4914408748107622528,20.05501026418113,-53.75448741376011,,19.67603,20.10609,18.961529,intra,19.632694457836564
4914408919906315392,20.040041766171946,-53.75015736583287,,17.686596,18.302374,16.962183,intra,17.653265348358644
4914408954266055552,20.057984452360532,-53.73899847011152,,20.274994,20.308086,19.766699,intra,20.286165962556808
4914410431734807168,20.065868548549677,-53.73141533804445,,20.044724,20.137812,19.53124,intra,20.04506542200489
4914411741700337664,20.098527017758347,-53.64402061086067,,21.433527,,,intra,
4914409783195401856,20.04791781205053,-53.711923274455465,,21.265533,,,intra,
4914409817554518400,20.001094760999802,-53.72277973584733,,20.985346,21.637476,19.75715,intra,21.07636214365816
4914410264230675840,20.105882833523204,-53.72947166476593,,19.277573,19.53036,18.732729,intra,19.252226012399248
4914411599965963264,20.041272823189992,-53.66994824502931,,19.63214,20.47157,18.627193,intra,19.70984144347983
4914411737404917120,20.086862042310653,-53.65023863987472,,18.560894,19.330057,17.661587,intra,18.584408779208818
4914411771764656000,20.095074945385214,-53.63432857496683,,20.494053,20.620274,20.032934,intra,20.497489702958784
4915033515526324480,17.628449619097683,-53.548827758120716,,18.410011,19.326117,17.431883,intra,18.506390124747007
4915033378087372288,17.581094121894086,-53.56833735473865,,17.609852,18.604828,16.620333,intra,17.743972835831183
4915033756044494720,17.550757995000886,-53.57633004800787,5912.6,15.941099,16.222263,15.489155,intra,15.923339912275658
4915030010833015424,17.602244337401437,-53.6400070740094,5893.0864,14.786123,15.10062,14.311025,intra,14.761656478757486
4915029942113073536,17.64913337468412,-53.62236611160962,,21.447771,,,intra,
4915162635127149440,20.062819579881655,-53.60355245316444,,19.894611,20.120026,19.325495,intra,19.869601441697935
4915033270711993344,17.669019616179305,-53.55787801093422,,19.855562,20.137905,19.354712,intra,19.83181029196737
4915162605063856256,20.0435570059208,-53.60285325086948,,17.339989,17.753843,16.755156,intra,17.299145152024497
4915034232784677888,17.583663672210676,-53.54494566893363,,19.447748,20.666666,18.273844,intra,19.82135509670228
4915162673782147456,20.089020392468626,-53.59373084737661,,20.40346,20.747646,19.376867,intra,20.373203370721892
4915164151250897792,20.078406889650278,-53.538683101625196,,21.09672,,,intra,
4915033000129416576,17.551496494857176,-53.58090752905664,,20.904474,21.486149,19.960758,intra,20.896542252973994
4915163975157001344,20.10329117800362,-53.53935335849046,,19.832087,20.350052,18.9075,intra,19.81075458060492
4915033137568868480,17.621550465430587,-53.57770860745331,,21.047369,,,intra,
4915033133273022464,17.612514725668188,-53.57816712732752,,18.791069,20.05063,17.635235,intra,19.18145061998659
4915163872077765248,20.092574298648827,-53.561638689081434,,18.11607,18.638418,17.429247,intra,18.074259486979205
4915163876373100032,20.094328420562793,-53.56036665226168,,20.96966,20.234167,20.014513,intra,21.0461282324328
4915163768998553344,20.057971752422226,-53.55804521244536,,18.369196,18.665596,17.883677,intra,18.345587947636854
4915163562840115584,20.069217521802297,-53.56708535328795,,18.644035,18.91716,18.086601,intra,18.615278611184756
4915163567135455360,20.076157781372913,-53.54907149866957,,20.949188,20.281837,20.000557,intra,21.011882450787496
4915162639422519296,20.074108104652726,-53.611299023843806,,21.140633,,,intra,
4915163940797251200,20.09980225742852,-53.55087555092785,,19.694752,19.889263,19.090763,intra,19.669310925938056
4915033408150939520,17.59033990301711,-53.56667549876988,,20.466568,20.571531,19.440243,intra,20.42312576082376
4915163768998558592,20.051413390357638,-53.55306564303022,,19.628536,19.745617,19.170218,intra,19.63393733984603
4915031793243240576,17.73352197100768,-53.56163857042555,,19.541225,19.774391,19.086332,intra,19.529440988535953
4915163807654821376,20.02959050609477,-53.5544011119628,,20.30136,20.93234,19.21047,intra,20.33945060985434
4915033442510683136,17.620139474200727,-53.560584470151106,,18.551596,20.046509,17.346462,intra,19.188390379747798
4915163425401148544,20.029350747637725,-53.5859984770553,,18.949282,19.906755,17.887978,intra,19.099100285596286
4915163842014435200,20.0541611580774,-53.53567135043771,5047.5,14.484209,14.9469385,13.870042,intra,14.441040970582122
4915032656532031488,17.574634280172415,-53.62536487271736,,20.94959,21.654964,19.604435,intra,21.114632715901227
4915031488301853440,17.725605683496497,-53.58074327867763,,20.475208,21.0823,19.666235,intra,20.45029831895613
4915163945092972928,20.09107844958487,-53.55069401891233,,21.41527,,,intra,
4915032652236460928,17.5658849996333,-53.62113367356542,5872.6665,12.078561,12.404765,11.598613,intra,12.052300984077265
4915162257169993344,20.044142993617942,-53.64489229669689,,19.938604,20.835169,18.531368,intra,20.24982516132828
4915033549886062464,17.651266014499253,-53.53560011410424,5416.0,16.60755,16.999628,16.064444,intra,16.570180672743994
4915032622173131008,17.547344008654154,-53.630694329722495,5360.3335,17.024519,17.429037,16.47932,intra,16.98623345273525
4915033171928942336,17.62920670507771,-53.58362618344645,,18.017136,18.6583,17.266365,intra,17.98925773268804
4915030594948565888,17.74887882951242,-53.61118579226159,,17.720835,17.916822,17.283457,intra,17.71700956791724
4915030629307458688,17.72065029477408,-53.62038264182402,,20.94554,21.190699,19.787779,intra,20.918979116313764
4915034030922199936,17.537946789559665,-53.55062049517231,,21.041262,,,intra,
4915031380926333440,17.701150716746557,-53.61531167005635,,19.817009,20.734951,18.624798,intra,20.012455161249058
4915029770314005632,17.643960838331406,-53.640465497454834,,20.561487,20.893417,19.154835,intra,20.604468689996708
4915034958634498560,17.667809743841897,-53.54480790916928,,21.265715,,,intra,
4915033275007319040,17.655695952559526,-53.56740959747269,,20.745056,21.356228,19.535194,intra,20.814529406799434
4915030148271543552,17.65216694318322,-53.60167690583769,,21.223192,,,intra,
4915033343727211904,17.6057488342711,-53.56918507793164,,21.05733,,,intra,
4915162635127138816,20.058794322158132,-53.61563095351663,,18.717678,18.959352,18.245514,intra,18.702408684608525
4915032995834063360,17.563727782145573,-53.58539833725391,,19.03418,20.31584,17.875383,intra,19.443646618499333
4915031385221245824,17.703588427290526,-53.604437847238295,,19.39468,20.477459,18.404034,intra,19.571115423670168
4915162673781516032,20.100020907995354,-53.596526209215064,,20.413837,21.398447,19.1762,intra,20.67304810714231
4915029839034322944,17.63016736545226,-53.634524903135116,5796.0,13.68775,14.02407,13.194451,intra,13.659086458387488
4915162325889481344,20.05161291519584,-53.63186457908139,,19.614594,19.775003,19.118916,intra,19.607371253631815
4915034134001616128,17.56547559859809,-53.562014485556794,,17.313517,17.632195,16.8109,intra,17.285687233228792
4915030384493915008,17.757217005129416,-53.6223709202697,,20.441122,20.831835,19.608328,intra,20.39988121579379
4915029937817314432,17.657042104467163,-53.62477187803176,,19.782825,21.460228,18.444601,intra,20.774193477944188
4915166762592196224,20.039248005242342,-53.53433201346928,4609.0,16.916563,17.598633,16.098442,intra,16.904193789325905
4915163635856006272,20.014064944356633,-53.5786407464577,5317.0,13.267836,13.654184,12.70469,intra,13.22956397652283
4915163773294958720,20.06981553149487,-53.53937097234508,,17.812933,18.241224,17.201424,intra,17.770590465600996
4915163842014435328,20.05996921579764,-53.538618434937845,5781.5,15.653537,15.97806,15.155667,intra,15.625596063292575
4915163395337838208,20.006230405680107,-53.58962914918878,5111.0,15.038589,15.623858,14.320523,intra,15.002116257046177
4915160814060974336,20.004334764171517,-53.65479307961621,,19.42116,20.24607,18.439575,intra,19.48567284125574
4915030040896539136,17.631244782283396,-53.61268990649794,,20.101196,20.410814,19.556778,intra,20.070207737389552
4915163395337838592,20.008457707485327,-53.59628757831131,6086.0,15.352492,15.662622,14.876846,intra,15.328450466178996
4915162570704118528,20.026928010887556,-53.62074895459189,,18.044538,18.292864,17.608408,intra,18.033254944459625
4915160749637986304,20.008603501148897,-53.667822083828725,,17.270863,17.845165,16.554125,intra,17.233476279084982
4915162257169992320,20.061425831618124,-53.64510006295771,,19.846565,20.403753,19.013773,intra,19.8184582094505
4915029697299134336,17.573253442646422,-53.63884564029386,,19.21695,19.558584,18.676998,intra,19.183559712932308
4915163464057323648,20.049031056115396,-53.59229944273872,,19.883787,21.125957,18.667961,intra,20.30690060134699
4915029147543319680,17.683138379671156,-53.639129429999514,,20.204006,20.59476,19.287415,intra,20.16784576441479
4915162605062040320,20.046490396063227,-53.60536873499809,,19.88502,21.355955,18.568632,intra,20.610946591958395
4915029800378347520,17.60660050728504,-53.64214345412732,,20.11074,20.586807,19.393023,intra,20.068412591233276
4915033103209556992,17.59072003366332,-53.59703250259431,,20.886303,21.36171,19.956343,intra,20.860043305957365
4915030663666739584,17.751705669855756,-53.606145839601254,,20.123377,,,intra,
4915031484005571328,17.72585989566263,-53.58896710605527,,18.834976,20.055346,17.706347,intra,19.17712722961071
