source_id,ra,dec,teff_val,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,focal,lsst_r_mag
2955069922080894720,80.76894039461334,-27.80736189268589,,19.181778,20.07505,18.170557,extra,19.28218949268312
2954881291414082304,78.44905196017973,-27.858089629543564,,20.65038,21.187967,19.404057,extra,20.707434518197125
2954874763063684352,78.34256803218715,-27.927367185558126,,19.39135,20.811466,18.124693,extra,20.015164385395327
2954875793855835136,78.31323789426466,-27.894888491617063,5021.3447,16.085373,16.573257,15.463227,extra,16.04190297761475
2954870708614661376,78.51294226579601,-27.875375878414253,,19.291948,19.736748,18.660923,extra,19.24879665839058
2954975192281788928,80.66556262723067,-27.910395398960382,,18.749271,18.958921,18.345774,extra,18.748574040429318
2954880672938681472,78.36516771156799,-27.914703031572195,,17.914774,18.632048,17.090218,extra,17.909910440700422
2954869299865389696,78.49510341850788,-27.8803224928636,5801.6665,15.899811,16.241144,15.395418,extra,15.869593502464026
2954875553335009024,78.33515334811969,-27.913375787993246,,20.62317,21.286812,19.355478,extra,20.734441121630887
2954870708614662528,78.5091020998668,-27.88855859030797,,17.51865,18.329456,16.649841,extra,17.545075833202176
2954880982176439808,78.44183392010811,-27.88265585623812,,17.312027,17.631273,16.833223,extra,17.286634619842673
2954875553337665536,78.34326165768901,-27.907253175073315,4308.9966,16.781082,17.540134,15.941676,extra,16.78785608712681
2954875622057142656,78.32931165546859,-27.89999105543184,,18.534517,19.682554,17.452663,extra,18.79839865481294
2954881497572401920,78.34467081961051,-27.889975998848314,,18.198189,18.729532,17.249783,extra,18.1824537132662
2954975364080499456,80.67599099138135,-27.886319592796525,,18.807968,19.080303,18.361347,extra,18.79202766645364
2954881806810046592,78.3315831290997,-27.86023858350963,4928.0,16.892588,17.399614,16.234491,extra,16.84955527178166
2954881188334869632,78.42935876332047,-27.867381855692695,,19.268028,19.774918,18.457706,extra,19.23266708353783
2955070540556182528,80.72946145441225,-27.822197530136442,,20.05885,20.819317,19.12027,extra,20.090516093965537
2954874797423421952,78.35098157193154,-27.920444233399806,,19.452454,18.996216,17.373556,extra,19.464716468135475
2954975815053987072,80.7031228598338,-27.855742418126876,4517.25,13.317598,13.998049,12.537868,extra,13.298834008390754
2955083326674983296,80.75362273890008,-27.7057527856264,,21.070837,,,extra,
2955069715922459392,80.75015439909428,-27.835181831649177,,18.85473,19.234941,18.289099,extra,18.81668183149139
2954975501521971712,80.7265863702422,-27.8895189180178,,20.650295,20.982502,19.887646,extra,20.606911556879783
2955069715922458496,80.75076971056589,-27.842956638176744,,18.652313,19.249166,17.94719,extra,18.615735959987543
2954972477862456704,80.73036715282595,-27.91243041808248,,20.159346,20.519924,19.536537,extra,20.119212601897942
2954975123562315904,80.70933677247126,-27.90586548047506,,18.078049,18.67569,17.328445,extra,18.045389375023422
2954881360133441152,78.43355412636014,-27.841022422655787,,19.451008,19.743906,18.937496,extra,19.42472067151829
2954975020486170368,80.71013397396406,-27.926611299001376,,21.147335,,,extra,
2954882150407422720,78.42904643027673,-27.821950309863077,6131.885,15.607313,15.947866,15.097541,extra,15.57666631671161
2954870949132823552,78.53085312867682,-27.84666186332262,5532.5,17.036232,17.461544,16.46515,extra,16.99548941339868
2954976811484750208,80.66100902401503,-27.84052204117973,,20.705385,20.976099,19.480352,extra,20.692266327049214
2955070884153003648,80.69311142055923,-27.782778173028632,,20.206059,20.983583,18.64585,extra,20.540357951884346
2954882287846378752,78.39415520640301,-27.82596959993413,,18.919878,19.309767,18.320772,extra,18.879474715845152
2954880604219327360,78.37385379643374,-27.916828322325546,5816.0,16.470533,16.794863,15.986957,extra,16.444087687251912
2954882390925592832,78.40303601148855,-27.82200938239859,,19.577408,19.804466,19.109917,extra,19.56473012485056
2954882184767162752,78.40420628946892,-27.826653270075422,,18.084515,18.823225,17.26561,extra,18.0827278990143
2955070544853213568,80.71996813268143,-27.81654586468269,,18.275322,18.932491,17.490753,extra,18.253874624734138
2954881669371090816,78.37894575274372,-27.85670902280664,,20.461655,21.317495,19.23541,extra,20.64249090601924
2955070819731120384,80.7063692755121,-27.80155954415592,,17.454628,19.01983,16.238117,extra,18.174625298610614
2954884899186497280,78.34673974076738,-27.820595737329665,,20.793308,21.39854,19.807823,extra,20.79839227645375
2954881257054228992,78.42194631099366,-27.866499161216716,,18.104435,19.225399,17.04884,extra,18.336596221998082
2954881257054229120,78.41082156383297,-27.857987075597247,5502.7573,11.663008,12.029649,11.151407,extra,11.629896580186006
2955070579212950144,80.74172443141349,-27.80828785037499,8458.0,12.725336,12.83558,12.514274,extra,12.779361625974335
2955070647932426752,80.72663601298066,-27.791922254076812,5806.0,13.667632,13.996161,13.179016,extra,13.640225660258062
2955083189236928128,80.71920349255346,-27.73387103371837,5085.0,16.021416,16.5586,15.346798,extra,15.979703648412045
2954875484616013440,78.31084166962718,-27.923573155226382,,20.83709,20.675724,19.956259,extra,20.821083315326366
2954881806810046080,78.34181372195494,-27.85819733580916,,18.676044,19.364664,17.903856,extra,18.657374143122606
2955070647932426624,80.7282695734677,-27.793343297144546,4931.68,13.447121,13.967812,12.7971325,extra,13.404199072013569
2955070579212949760,80.73556585764204,-27.79946321414678,,18.054462,18.769995,17.244205,extra,18.04660309284739
2955083189236927232,80.73031417329327,-27.726203795896918,5416.25,16.18657,16.572044,15.649451,extra,16.150051268117895
2954881635011353984,78.35852150323005,-27.86580793386203,4914.547,13.0105,13.544413,12.344738,extra,12.968358982428253
2955070922810334592,80.69694629914265,-27.775877649909134,4483.0,15.090044,15.795249,14.285288,extra,15.07935722560553
2954884830467022592,78.31011506756496,-27.833282954649817,,19.493383,20.72895,18.316753,extra,19.881364279880614
2955070957170070144,80.73189555752263,-27.7772771313258,,19.54052,19.874708,19.084402,extra,19.515974822335664
2954884864826760704,78.32839666177388,-27.84359067198293,,19.84559,21.088253,18.520487,extra,20.359659823110594
2955071025889546752,80.71278118184374,-27.75859418191327,,17.413212,18.608591,16.330557,extra,17.70747729908184
2954881944248997888,78.35893024710197,-27.839035984586353,5886.8125,14.885942,15.190583,14.419168,extra,14.86353607036382
2954875793853178368,78.31514274175811,-27.89874503294078,,20.217424,21.289593,19.028255,extra,20.500962021845428
2955070716651901056,80.75609873624902,-27.77810683275326,,20.167095,21.103546,18.988758,extra,20.365005272899563
