source_id,ra,dec,teff_val,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,focal,lsst_r_mag
5329956905701627392,131.7509242671521,-45.65641193152825,,20.225916,20.568504,18.950651,intra,20.237063489736194
5329957279356488320,131.7867562898017,-45.60864281487266,,19.740427,20.594748,18.34155,intra,20.018808503035746
5329956145484820608,131.80477294948014,-45.67065120074227,,18.584358,19.477238,17.55786,intra,18.690736279839115
5329956763960127616,131.7134516102889,-45.666202937404755,,19.065615,20.000418,18.052658,intra,19.183754775110575
5329954809757588224,131.70542517554142,-45.73037476793681,,20.192675,21.013365,18.894176,intra,20.39293855448385
5329956940068741760,131.76541759582577,-45.64765099055506,4639.92,16.715282,18.389418,15.430211,intra,17.636583203509442
5329956970118697088,131.79258194100905,-45.64021839668964,,18.063179,18.807137,17.176105,intra,18.07741296205289
5329954805458272384,131.70723249807847,-45.72819073376744,,17.570328,18.319574,16.722658,intra,17.57676295288578
5329956905701629696,131.75541322969937,-45.653014340902246,,20.784054,20.930237,19.225956,intra,20.81716756116366
5329957146219790720,131.75644915521374,-45.64161643937358,,20.939714,21.100239,19.67487,intra,20.916022623252477
5329957043147963520,131.78522986877914,-45.64031400470745,,19.046354,19.883673,18.041506,intra,19.12326244724926
5329956287226332032,131.70744829400113,-45.72097550915427,,19.400219,,,intra,
5329955634392402816,131.7714531600044,-45.71838895952328,,21.046097,,,intra,
5329957313716254080,131.7623243962333,-45.60239504894185,,18.902729,20.031292,17.790184,intra,19.173540190488232
5329955496952441856,131.75810108782696,-45.73588669265494,,20.810614,20.655575,19.104084,intra,20.80761811017428
5329956287226332160,131.70757517296488,-45.72066920520718,,19.111965,19.680103,17.43889,intra,19.382841483785615
5329952778234366592,131.81377524489008,-45.735869524742625,,18.986626,20.552273,17.448027,intra,20.094174612737223
5329956282927024512,131.71198265416228,-45.7274257644304,,19.644033,20.600264,18.520233,intra,19.823820631040427
5329956527744500992,131.74115001597164,-45.66723288908193,,20.415089,20.953032,18.773918,intra,20.648724042033727
5329955359514546304,131.800656447306,-45.72808617153451,,20.5975,20.934772,19.293766,intra,20.614132034124562
5329956390305548416,131.7155675450465,-45.708926441194116,,19.433783,20.301414,18.326849,intra,19.563498843729874
5329956248564113280,131.81416371877964,-45.656084810125606,,17.731655,18.75069,16.69776,intra,17.897876031050583
5329957111860054784,131.75421737108383,-45.646835956011415,,19.986649,20.720133,18.653202,intra,20.159817562718388
5329956321593455104,131.73045163301703,-45.71494740836604,,18.608816,19.650354,17.38872,intra,18.892542437170814
5329956287226334848,131.71475089550512,-45.7112177573401,,20.741484,20.603346,19.318398,intra,20.70366898654028
5329955561372545792,131.7492670634843,-45.723161766143605,,18.351263,19.627737,17.163757,intra,18.779087842010963
5329957107557570944,131.74555833753553,-45.655065302964275,,19.378702,20.231531,18.251778,intra,19.510711360896693
5329956523441956864,131.74165670530036,-45.66719047622042,,20.716024,,,intra,
5329956111130922240,131.79936963800318,-45.673396582247456,,19.208563,19.95599,18.023186,intra,19.32044188874503
5329955531312116608,131.71592938663272,-45.735323989446684,,20.056442,20.689602,18.749329,intra,20.171429927513316
