source_id,ra,dec,teff_val,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,focal,lsst_r_mag
5663487573227688704,147.2939700337491,-23.01510990694146,,17.454268,17.719336,16.967377,intra,17.434171176163765
5663534538694088192,147.29718773657808,-22.994079590247114,,18.001373,19.206627,16.905798,intra,18.310613524618315
5663534096313453312,147.18822176497608,-23.046838946832978,,19.329647,20.641722,18.104765,intra,19.817211397286542
5663486679874501248,147.27832591039987,-23.08856563473534,4508.033,16.240585,17.013952,15.37688,intra,16.256264750801233
5663532653204592256,147.16497963558643,-23.060588747641443,,20.18335,21.226204,19.119686,intra,20.376873921444112
5663487362773256192,147.27945178470765,-23.042259822342988,,20.774153,21.92248,19.751783,intra,21.00295008357276
5663532305310992256,147.1981092124507,-23.08225696135793,,18.86246,19.582497,17.952978,intra,18.876334879091328
5663532442749945344,147.15132616884446,-23.082253305449026,,19.123276,19.676147,18.35994,intra,19.08783168844573
5663534920947173248,147.17036590455882,-23.025043849094804,,17.612469,17.985683,17.07378,intra,17.576713371219537
5663534985370655488,147.1582540494416,-23.020164360405982,,20.171883,,,intra,
5663532855066804992,147.11015381634618,-23.08244505762215,,19.152649,20.289087,18.089169,intra,19.398455501201017
5663534989666649472,147.1640810290645,-23.00877281943696,,18.71232,19.13548,17.987562,intra,18.66902243147534
5663487435788740352,147.27321430361263,-23.037205596275395,,19.207254,20.09308,18.26976,intra,19.27751879445956
5663534332535449984,147.2246516983493,-23.00676669448408,5350.0,11.408175,11.836166,10.836363,intra,11.367282536333533
5663486782953712768,147.28550814007778,-23.059559109178718,,20.61637,21.480726,19.506138,intra,20.746095973495045
5663534439909750272,147.2520672406856,-23.010169030663572,,16.018476,,,intra,
5663532309607060992,147.20028697455479,-23.08540180782159,4857.14,15.4862585,16.034004,14.804233,intra,15.445293575120553
5663532889426554880,147.1198876970672,-23.073459361068906,4435.0,16.977823,17.593502,16.163454,intra,16.954759931646027
5663532584484968192,147.17068348861508,-23.058885455363274,,19.481133,19.930157,18.715508,intra,19.439530101731926
