source_id,ra,dec,teff_val,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,focal,lsst_r_mag
3832877197757374976,148.2759822410319,-1.3383833904337148,,19.876736,21.058855,18.716986,intra,20.213906635686524
3832869531240865920,148.2363564006843,-1.4424819246275213,,20.644688,20.765491,19.95255,intra,20.617715820073595
3832865476792289536,148.29449501787312,-1.4849867895795066,,20.178503,21.014732,18.814394,intra,20.42455836968583
3832877262182045696,148.2630237150227,-1.3303050671738093,,17.454165,18.50688,16.383858,intra,17.65648890892407
3832866438864413440,148.29322786072018,-1.44146256512533,,19.858171,21.150223,18.522438,intra,20.42611084951353
3832866163987058432,148.23041274872855,-1.4653619508877553,,20.274603,21.106394,18.90487,intra,20.521361801192977
3832876884224925184,148.24665580639922,-1.327134526023056,,19.661657,20.404873,18.505033,intra,19.76023153105681
3832869977917488640,148.2178674952589,-1.3932317805293837,4300.745,15.881942,16.67417,15.013783,intra,15.903388286935728
3832872627912014848,148.29025941157383,-1.4109226107577086,,20.93458,,,intra,
3832875990871712640,148.28675538929684,-1.3662683845206562,3641.25,16.98753,18.046698,15.946925,intra,17.17751086725232
3832924060145711744,148.2009767345155,-1.3114677396728076,,18.655195,18.94878,18.087683,intra,18.623568548145553
3832923957066491136,148.1976596309597,-1.3232718265490389,,19.27849,20.496433,18.201122,intra,19.584070427396888
3832877468340485760,148.24713326273505,-1.3090827669478649,,19.553848,20.702938,18.404903,intra,19.861232455976538
3832865717310220928,148.21887108877965,-1.505015005393644,,20.234291,20.855602,18.70509,intra,20.451687554934807
3832866507583881984,148.2596887104062,-1.458837305688772,,18.987041,19.283768,18.41942,intra,18.955125913583128
3832877502700223360,148.26434498501592,-1.3107428459551347,,20.348677,21.317745,19.344488,intra,20.477817326216496
3832877232117397760,148.28060104838355,-1.3239200392502841,5476.0,14.279599,14.651628,13.754353,intra,14.244947803385758
3832875612914581120,148.26188239151773,-1.3921292301828374,,18.183544,18.497118,17.637205,intra,18.152023483334883
3832866267065707136,148.25262504112854,-1.47393497855545,,19.583979,20.721474,18.262695,intra,20.007707463522753
3832876957239495040,148.22069060926108,-1.3480710698748188,5024.1,10.900556,11.38687,10.291716,intra,10.857170011177695
3832875823368129408,148.25013239194428,-1.39008231499997,5407.5,16.004423,16.384457,15.46231,intra,15.967935357250676
3832869565600854656,148.2139990862075,-1.4420833172646201,,20.375902,21.557644,19.053963,intra,20.835699705558493
3832866163986496896,148.23061567309395,-1.4617156793578445,,18.623585,19.124113,17.960129,intra,18.580531089044467
3832866305720602880,148.27049205512267,-1.4680392205651835,5113.37,14.072033,14.533266,13.462848,intra,14.02897241520569
3832869638615224192,148.25365522435857,-1.4322401373092835,5346.0,15.360112,15.749381,14.803406,intra,15.322055600418448
3832871008709645824,148.185630834608,-1.375513715734095,,20.251305,21.414505,19.001808,intra,20.639661047395972
3832865068770022400,148.27170121795913,-1.497732254320112,4892.865,11.610048,12.151806,10.945335,intra,11.568139729179247
3832865030114692736,148.26369991159135,-1.5144215830327235,,17.585285,18.839737,16.477663,intra,17.936669067994927
3832875892087606656,148.23155424986948,-1.3793538466692365,5036.3335,14.446932,15.032912,13.734649,intra,14.410074157705774
3832865476791717632,148.29376233364349,-1.490589325213619,,17.887863,18.948687,16.838213,intra,18.08347934293565
3832864961395214080,148.28070692401982,-1.5195710103150022,,20.320137,20.44923,19.551964,intra,20.28548650415051
3832864927035475968,148.24255797669744,-1.5195076445541293,5757.0,16.881792,17.228077,16.368416,intra,16.85029408648399
3832870802551556864,148.19539125400308,-1.379355410726562,,20.805235,20.42971,19.630924,intra,20.779763008978197
3832865652885145984,148.22122080035217,-1.523280751671657,,20.392632,21.088896,19.126469,intra,20.51704918786889
3832866026547535360,148.2058904671833,-1.4818672904587873,,20.398653,20.464916,19.511496,intra,20.360145335745777
3832864445999091072,148.1933229617571,-1.5131788565588287,,19.861824,20.621075,18.597782,intra,20.013767168721984
3832872589257590912,148.2823763076113,-1.423269441698325,,17.933348,18.979254,16.887564,intra,18.119123610356347
3832875887792720384,148.23857574894035,-1.3827185327666878,,20.813692,21.050442,20.013819,intra,20.771443633560065
3832875544198840704,148.27266151983238,-1.4033373354881418,,20.31351,21.654388,19.110388,intra,20.807065665730562
3832868947125294720,148.18822146739072,-1.4852648173363356,,18.689785,20.124924,17.428658,intra,19.32286678819374
3832876059591415552,148.26792604429016,-1.3505910848522953,,20.612127,20.952824,20.14702,intra,20.58590385529229
3832877227822581248,148.27464974614406,-1.3260191855642396,,20.827196,21.147982,19.402512,intra,20.872239916956545
3832869088859415424,148.20635138895784,-1.4702774342891725,5945.0,16.112755,16.407963,15.649656,intra,16.09189309684799
3832877163397923328,148.22072875846303,-1.3168562697367228,3862.0,16.959045,17.921337,15.962381,intra,17.08196426544125
3832866443159555200,148.29356570056055,-1.4547195052675224,5317.0,16.370943,16.796244,15.7924185,intra,16.32987894369554
3832865030114692352,148.26046922009314,-1.5147734500398518,,18.466543,19.364464,17.49056,intra,18.555122858569668
3832864171121258880,148.22206740395842,-1.529021774300081,,21.084473,,,intra,
3832866443159554560,148.28996027692762,-1.441747052995844,5474.5,13.911858,14.2853565,13.389638,intra,13.877328383440465
3832875651569436032,148.27194142256218,-1.3978962972275308,,17.288784,17.792355,16.653336,intra,17.245395493673662
3832865786029357312,148.25341949626244,-1.5054936087348625,,19.709013,20.322935,18.798101,intra,19.700979704396254
3832864995754952576,148.2831466605093,-1.5194958975365938,,20.209726,20.745928,19.0323,intra,20.245462721117285
3832864995755372928,148.2766839422828,-1.5110639298127764,,18.772253,19.62077,17.880331,intra,18.815787993969302
3832865717309878400,148.22082436545045,-1.5115482201163284,,18.361565,18.59634,17.858315,intra,18.34318673319385
3832864205480968448,148.196207509805,-1.524869316068492,,20.384415,20.127909,19.323687,intra,20.35835991975707
3832869977917483520,148.22059837908853,-1.4017562698473338,,18.999243,19.44086,18.203638,intra,18.958627670044496
3832865824684267776,148.2551284945322,-1.4887674356261156,4813.9897,15.337498,15.951502,14.608161,intra,15.304464209102818
3832875578554837760,148.2760013975592,-1.4010015562109963,,19.88336,20.805693,18.982765,intra,19.953488867261537
3832869737399549056,148.25535082911776,-1.411233023979073,,20.433207,20.469732,19.853594,intra,20.432041059581547
3832866546238772608,148.23414884143224,-1.4524077373261732,4960.09,16.540327,17.013754,15.91353,intra,16.496902876929045
3832864759532377984,148.28624236384564,-1.5274630744446445,5659.81,14.62266,14.987514,14.095128,intra,14.588393300596563
3832869604255486848,148.22684593327745,-1.4341711536032697,3759.4766,15.998425,17.28119,14.879259,intra,16.378754098148022
3832875887793553024,148.23131562146867,-1.3804306222563016,,18.953236,19.850069,17.698187,intra,19.171397372335
3832869874838267264,148.20672402669925,-1.4049189263403603,,19.706337,21.23221,18.49217,intra,20.38315345517539
3832869501176272128,148.2304301083357,-1.4461897989262775,3499.6335,16.987816,18.266544,15.807341,intra,17.411877616485047
3832869909198006016,148.2238424180902,-1.4045752036498584,,17.62549,18.056122,17.028288,intra,17.583521181475938
3832875612914576768,148.2644495214008,-1.4001152601104132,,20.33333,21.043552,19.137806,intra,20.434238458988837
3832866507585021952,148.25819330826226,-1.4512886133088492,,20.752525,19.888605,19.572412,intra,20.80764498328688
